section_crn,day_id
12248,Thursday
12246,Monday
12246,Wednesday
12246,Friday
10574,Tuesday
10575,Thursday
10576,Tuesday
10577,Thursday
10573,Monday
10573,Wednesday
10573,Friday
10578,Wednesday
10579,Wednesday
10580,Monday
10581,Monday
10042,Tuesday
10042,Thursday
10098,Monday
10606,Friday
10038,Monday
10038,Wednesday
10047,Tuesday
10047,Thursday
10043,Monday
10043,Wednesday
10039,Monday
10039,Wednesday
10039,Friday
10166,Tuesday
10166,Thursday
11410,Monday
11410,Wednesday
10705,Wednesday
13970,Wednesday
13970,Friday
13174,Tuesday
10704,Monday
10704,Wednesday
10734,Wednesday
10735,Tuesday
10735,Friday
10733,Monday
10733,Tuesday
10733,Wednesday
10733,Thursday
10457,Tuesday
10457,Thursday
10101,Monday
10453,Tuesday
10453,Thursday
12249,Monday
11499,Friday
10034,Monday
10193,Friday
10100,Tuesday
10100,Thursday
10102,Tuesday
10102,Thursday
13592,Tuesday
13592,Thursday
12990,Tuesday
12990,Thursday
12196,Monday
12196,Wednesday
12625,Monday
13363,Monday
10358,Tuesday
10358,Thursday
10014,Tuesday
10014,Thursday
10198,Monday
10198,Wednesday
10198,Friday
11003,Tuesday
11003,Thursday
12526,Monday
12526,Wednesday
12526,Friday
10530,Tuesday
10530,Thursday
11108,Tuesday
11108,Thursday
10015,Monday
10015,Wednesday
10015,Friday
10016,Tuesday
10016,Thursday
10017,Tuesday
10017,Thursday
10103,Tuesday
10103,Thursday
10126,Monday
10126,Wednesday
10126,Friday
10175,Tuesday
10175,Thursday
10197,Tuesday
10197,Thursday
10712,Monday
10712,Wednesday
10712,Friday
10942,Monday
10942,Wednesday
10942,Friday
10977,Thursday
11300,Monday
11300,Wednesday
11300,Friday
11301,Tuesday
11301,Thursday
12047,Tuesday
12047,Thursday
12527,Tuesday
12527,Thursday
14451,Tuesday
14451,Thursday
14453,Monday
14453,Wednesday
14453,Friday
14454,Monday
14454,Wednesday
14454,Friday
10086,Tuesday
10086,Thursday
10127,Tuesday
10127,Thursday
10319,Monday
10319,Wednesday
10319,Friday
14460,Tuesday
14460,Thursday
14461,Tuesday
12084,Tuesday
12084,Thursday
14462,Tuesday
14462,Thursday
13313,Monday
13314,Friday
11309,Wednesday
11309,Friday
10861,Wednesday
10861,Friday
10857,Tuesday
10857,Thursday
14607,Tuesday
14607,Thursday
10846,Friday
14605,Monday
10859,Thursday
11014,Monday
11014,Wednesday
11014,Friday
11015,Monday
11015,Wednesday
14606,Tuesday
14606,Thursday
11603,Monday
11603,Wednesday
11603,Friday
12647,Tuesday
12647,Thursday
13442,Monday
13442,Wednesday
10806,Monday
10806,Wednesday
10806,Friday
10137,Monday
10137,Wednesday
10137,Friday
10139,Monday
10139,Wednesday
10139,Friday
10376,Monday
10376,Wednesday
10376,Friday
10714,Monday
10714,Wednesday
